subject,object,relation,uid,status
maintaining myofiber stability and integrity,lipin1,Biological process - Protein,:39014470:B432moQF9kNU7VC5pHmwAG,ONLY_ONE_SIDE_SYNONYM
DMD patients,lipin1,Disease - Protein,:39014470:8EeBBvvedYceU9yKxSucdp,ONLY_ONE_SIDE_SYNONYM
increased lipin1 expression,muscle degeneration,Exposure - Biological process,:39014470:CqHHu7Nb2XCDdR6BQpypQP,ONLY_ONE_SIDE_SYNONYM
increased lipin1 expression,inflammation,Exposure - Biological process,:39014470:Vdx9sZC3hzbNTyAg6QrBAD,ONLY_ONE_SIDE_SYNONYM
increased lipin1 expression,fibrosis,Exposure - Biological process,:39014470:VwWy4nngj522QjTvTGHwJU,ONLY_ONE_SIDE_SYNONYM
increased lipin1 expression,membrane integrity,Exposure - Biological process,:39014470:DyHMYDA36LdXRPURL9hE3e,TWO_SIDE_NO_SYNONYM
increased lipin1 expression,muscle contractile and lengthening force,Exposure - Biological process,:39014470:N7pMR8iUDBYuYUeaQL8MNQ,TWO_SIDE_NO_SYNONYM
increased lipin1 expression,muscle performance,Exposure - Biological process,:39014470:nnpSNjHt6KDNT7TUUDkcTK,TWO_SIDE_NO_SYNONYM
lipin1 restoration,myofiber necroptosis,Exposure - Biological process,:39014470:9mhMfAyxpBsTXM4Jizjzfr,TWO_SIDE_NO_SYNONYM
lipin1 restoration,muscle degeneration,Exposure - Biological process,:39014470:HLbW6vbUYM7FFStSbyaJe9,ONLY_ONE_SIDE_SYNONYM
small-molecule aminoglycosides,off-target translation errors,Drug - Phenotype,:39011883:2o9pNmdnfkgt392hANaKxQ,TWO_SIDE_NO_SYNONYM
suppressor tRNAs,off-target translation errors,Drug - Phenotype,:39011883:GDFUGG5BKMUxWgKLiMhdKz,TWO_SIDE_NO_SYNONYM
Readthrough-inducing antisense oligonucleotides (R-ASOs),CFTR,Drug - Protein,:39011883:64c4pMv6Fd7qUNFGzARXjR,ONLY_ONE_SIDE_SYNONYM
Readthrough-inducing antisense oligonucleotides (R-ASOs),JAG1,Drug - Protein,:39011883:NBisfvkDx6LDfgu6Q8y5DP,ONLY_ONE_SIDE_SYNONYM
Readthrough-inducing antisense oligonucleotides (R-ASOs),DMD,Drug - Protein,:39011883:4WBawa64eoNw8AZHT4waWQ,ONLY_ONE_SIDE_SYNONYM
Readthrough-inducing antisense oligonucleotides (R-ASOs),BRCA1,Drug - Protein,:39011883:K6yutvNsUBoan3SdL6Mqw7,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:39009678:QPbrG9KQkzwRwheq7ZkvDN,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin protein,Disease - Protein,:39009678:DEAggSkMzR5LkV6druTvAv,ONLY_ONE_SIDE_SYNONYM
dystrophin deficiency,dystrophin,Phenotype - Protein,:39009678:gz5ueaMYm9MG2gaVD9evPT,ONLY_ONE_SIDE_SYNONYM
adenine base editor,dystrophin,Drug - Protein,:39009678:V48KbtTbgLvWkHP9w2A5VW,ONLY_ONE_SIDE_SYNONYM
heart,dystrophin,Anatomy - Protein (present),:39009678:dheG884yvs5tRwfbRwMTWZ,APPROVED(NODE_ALL_EXISTS)
tibialis anterior,dystrophin,Anatomy - Protein (present),:39009678:gnu4f5d6MjA9uMr3VP8qLT,KG_ALREADY_EXISTS
diaphragm muscles,dystrophin,Anatomy - Protein (present),:39009678:nhyKNn3icTxuRsqHfyU5ih,KG_ALREADY_EXISTS
base editor,DMD,Drug - Disease (indication),:39009678:MT4gvSy34a2C65ZxSJNpSe,ONLY_ONE_SIDE_SYNONYM
base editor,muscle function,Drug - Phenotype,:39009678:9yZEUD2w5K9H2jsjDZkapg,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,progressive X-linked neuromuscular disorder,Disease - Phenotype (positive),:39005110:ishmcBZ2Hek6C5m2nY6hxB,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin protein,Disease - Protein,:39005110:C2tKtALFRBbaSiWkWrPjAz,ONLY_ONE_SIDE_SYNONYM
dystrophin,brain,Anatomy - Protein (present),:39005110:Lw5PhLXteEmwDBCH3PkFXe,NO_ID
dystrophin,neurons,Anatomy - Protein (present),:39005110:XmRy8NqXJPbH6Zuup7fDyL,ONLY_ONE_SIDE_SYNONYM
dystrophin,glial cells,Anatomy - Protein (present),:39005110:XYQgudhHCKV3Vued52LuPE,ONLY_ONE_SIDE_SYNONYM
DMD,altered white matter microstructure,Disease - Phenotype (positive),:39005110:8NggTdZcR5yYRLtU9ZcGNZ,ONLY_ONE_SIDE_SYNONYM
DMD,significantly higher water diffusion,Disease - Phenotype (positive),:39005110:6HS3jmvfKmd27WvYx4R2zm,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,X-linked recessive disorder,Disease - Phenotype (positive),:39003996:36hWffehj6xXyi2Zeo6fBM,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy,dystrophin gene,Disease - Protein,:39003996:NFzBeVBEh6eQsDXWCFFYoM,ONLY_ONE_SIDE_SYNONYM
dystrophin protein,motor problems,Phenotype - Protein,:39003996:8SADPJqDcB6TfWwJ9Z2A3h,TWO_SIDE_NO_SYNONYM
dystrophin protein,cognitive problems,Phenotype - Protein,:39003996:EHKy6ex2wvby5LXizrPYSD,TWO_SIDE_NO_SYNONYM
dystrophin protein,language problems,Phenotype - Protein,:39003996:Uw9i7ioR39bvTHZyLFHRnd,TWO_SIDE_NO_SYNONYM
dystrophin protein,behavioural problems,Phenotype - Protein,:39003996:QmSoGKVt6iCfB4iddcT3iG,TWO_SIDE_NO_SYNONYM
dystrophin protein,social emotional problems,Phenotype - Protein,:39003996:eoSvrCM5C6AcgvMGiLPMNR,TWO_SIDE_NO_SYNONYM
DMD,problems in all five developmental domains,Disease - Phenotype (positive),:39003996:noXgEEKr9er9xu7WAmGZi9,ONLY_ONE_SIDE_SYNONYM
DMD,motor problems,Disease - Phenotype (positive),:39003996:WF2NtLMkpWKqDC8KJxHYME,ONLY_ONE_SIDE_SYNONYM
DMD,global developmental delay,Disease - Phenotype (positive),:39003996:HccNETQ8bpg3QZTGR8fyBC,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,nutritional disturbances,Disease - Phenotype (positive),:38999890:WiWf2oGiCwX7ttqpKcSCry,ONLY_ONE_SIDE_SYNONYM
inappropriate nutritional status,underweight,Phenotype - Phenotype,:38999890:UJbkRw7i9wFyScpCKvuPZp,TWO_SIDE_NO_SYNONYM
inappropriate nutritional status,overweight,Phenotype - Phenotype,:38999890:dDquAVrB7RPNT2zspgf5MP,ONLY_ONE_SIDE_SYNONYM
inappropriate nutritional status,obesity,Phenotype - Phenotype,:38999890:UPfCeRbaRasLabntAvQ5aZ,ONLY_ONE_SIDE_SYNONYM
DMD,nutritional risk,Disease - Phenotype (positive),:38999890:jzodH3uKfmfHzFRpQUBuF9,ONLY_ONE_SIDE_SYNONYM
DMD,Inappropriate nutritional status,Disease - Phenotype (positive),:38999890:jDh4qucSciegaeVyPDJj5f,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,nutritional disorders,Disease - Phenotype (positive),:38999890:gFbCKyB2CscrkutyvyjNYM,ONLY_ONE_SIDE_SYNONYM
DMD,malnutrition,Disease - Phenotype (positive),:38999890:PdrXzciL4T3EUwGk6WzNzE,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,hereditary muscular disorders,Disease - Phenotype (positive),:38997055:BDgFE9mFbmSABaK4Fc2UGe,ONLY_ONE_SIDE_SYNONYM
Becker muscular dystrophy,hereditary muscular disorders,Disease - Phenotype (positive),:38997055:7mqcpg5X82eUKkQ8E5oMH6,ONLY_ONE_SIDE_SYNONYM
BMD,Cardiac electrophysiologic involvement,Disease - Phenotype (positive),:38997055:VMiBcxbz8hZt6oTrYf5BYn,ONLY_ONE_SIDE_SYNONYM
DMD,Cardiac electrophysiologic involvement,Disease - Phenotype (positive),:38997055:ahukSkw6pmeVRpsrzw4Ena,ONLY_ONE_SIDE_SYNONYM
BMD,cardiovascular involvement,Disease - Phenotype (positive),:38997055:i5ii3RWEUmcg55NmSeDnp7,ONLY_ONE_SIDE_SYNONYM
DMD,cardiovascular involvement,Disease - Phenotype (positive),:38997055:i3zymkwT9p9njLuQ5hcKgJ,ONLY_ONE_SIDE_SYNONYM
DMD,mortality,Disease - Phenotype (positive),:38997055:6UBKMZdX3sALosNkTcu3Hz,ONLY_ONE_SIDE_SYNONYM
BMD,rhythm disorders,Disease - Phenotype (positive),:38997055:mcYHVE4LjnfZce3wziGadf,ONLY_ONE_SIDE_SYNONYM
DMD,rhythm disorders,Disease - Phenotype (positive),:38997055:KA4eyug9xPLKXPYGgXE6qm,ONLY_ONE_SIDE_SYNONYM
BMD,progressive cardiomyopathy,Disease - Phenotype (positive),:38997055:EsTy8w3aJYjQG47FhXZu7T,APPROVED(NODE_ALL_EXISTS)
DMD,progressive cardiomyopathy,Disease - Phenotype (positive),:38997055:iJhM9QLkzXzbsJbjhMA5sS,APPROVED(NODE_ALL_EXISTS)
BMD,heart failure,Disease - Phenotype (positive),:38997055:9CEcNjBK3NSJaGhLveTh7A,APPROVED(NODE_ALL_EXISTS)
DMD,heart failure,Disease - Phenotype (positive),:38997055:hQJULKDespvXQN8mEyMjrE,APPROVED(NODE_ALL_EXISTS)
viltolarsen,Duchenne muscular dystrophy,Drug - Disease (indication),:38991781:2hczRPm5N5A89J2yUZKZQM,APPROVED
glucocorticoid,Duchenne muscular dystrophy,Drug - Disease (indication),:38989790:nRtGCX6ZYncXecMJzsHjw2,NO_ID
pubertal induction,sex hormones,Biological process - Protein,:38989790:AT9YDvKP8WGdRdXgu9HUkg,TWO_SIDE_NO_SYNONYM
testosterone supplementation,DMD,Drug - Disease (indication),:38989790:RSksqvKjdfDRq3USSgH9qU,ONLY_ONE_SIDE_SYNONYM
facioscapulohumeral muscular dystrophy,DUX4,Disease - Protein,:38989564:GsP4XPbAtNkqEs549BVSpD,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),DUX4,Disease - Protein,:38989564:QiswzagvjqCEY9yKCW5kMd,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,rare genetic disease,Disease - Phenotype (positive),:38985784:7qvwm6VrLfU5Sojopr4B7L,NO_ID
Duchenne muscular dystrophy,progressive muscle wasting,Disease - Phenotype (positive),:38985784:BXymuCWFZ9wXQ78aLX2mEH,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:38980963:aA2FKkqdJCvTso8aYNsNR2,KG_ALREADY_EXISTS
Givinostat,muscular dystrophy,Drug - Disease (indication),:38967716:VJRgtCXnBauEwyTFU2x2Yq,APPROVED
Givinostat,polycythemia vera,Drug - Disease (indication),:38967716:7Vyni8fGm3MP2zR2YXEuyd,APPROVED
Givinostat,histone deacetylase,Drug - Protein,:38967716:Jdz4pLhU8EHzCRrWfyr5Sm,APPROVED
Givinostat,Duchenne muscular dystrophy (DMD),Drug - Disease (indication),:38967716:7n4fXTbJJf65TwoZsCFLCm,APPROVED
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:38965715:ZBzkUam69wNqExtPKe5THK,KG_ALREADY_EXISTS
muscle,dystrophin,Anatomy - Protein (present),:38965715:Cb8zTvrZrMJN48hGuYYzbM,APPROVED(NODE_ALL_EXISTS)
human tissues,dystrophin gene,Anatomy - Protein (present),:38965715:CmTFxqXzNmGnK4hRJPxefC,TWO_SIDE_NO_SYNONYM
absence of dystrophin,dystrophin,Phenotype - Protein,:38965715:W2xybB29P9r5UAEHW33i4z,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,life-limiting,Disease - Phenotype (positive),:38960907:dR5U7KXMYUqvfQbkA5gqWh,ONLY_ONE_SIDE_SYNONYM
Cardiomyopathy,main cause of death,Disease - Phenotype (positive),:38960907:2NeSPVAdEyaPfUPRBoansh,ONLY_ONE_SIDE_SYNONYM
tamoxifen,Duchenne muscular dystrophy,Drug - Disease (off-label use),:38960907:D3TXyqbbVsEN5iqNmYrapt,APPROVED
tamoxifen,Left ventricular end-diastolic diameter,Drug - Phenotype,:38960907:igu5JoiVM9ZARC47J8enHw,APPROVED
tamoxifen,Left ventricular fractional shortening,Drug - Phenotype,:38960907:RqnunBNdbJo5MjgF6bkiJC,ONLY_ONE_SIDE_SYNONYM
tamoxifen,cardiac structure and function,Drug - Phenotype,:38960907:2wVXDJgATKDHf9riG8fJ4H,ONLY_ONE_SIDE_SYNONYM
Tamoxifen,cardiac fibrosis,Drug - Phenotype,:38960907:9bkVFUKfXNiiPzcZ7o5G4z,ONLY_ONE_SIDE_SYNONYM
Tamoxifen,cardiomyocyte function,Drug - Phenotype,:38960907:Yc3poADYt5xscLZV58WJS7,ONLY_ONE_SIDE_SYNONYM
tamoxifen,left-ventricular dimensions,Drug - Phenotype,:38960907:oGPkKayRECnbyNvDpZP7Ts,ONLY_ONE_SIDE_SYNONYM
tamoxifen,systolic function preservation,Drug - Phenotype,:38960907:mxUSxgukZ3e6Kige49NC6q,ONLY_ONE_SIDE_SYNONYM
tamoxifen,DMD cardiomyopathy,Drug - Disease (off-label use),:38960907:GgBmXEoSgCfbjkja8pZrZi,APPROVED
eteplirsen,DMD,Drug - Disease (indication),:38958840:EHN5zB2pQ7vG5eWWhR76T3,APPROVED
Duchenne muscular dystrophy,gradual loss of muscle strength,Disease - Phenotype (positive),:38929024:APzjrdkp29DsjbqPfLEt3L,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,deterioration of motor skills,Disease - Phenotype (positive),:38929024:d2GtqZvsjYam7bpYB7jZ6k,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,deterioration of functional mobility,Disease - Phenotype (positive),:38929024:irQnE7XaYnbhsBDteeEzs8,ONLY_ONE_SIDE_SYNONYM
DMD,caregiver burden,Disease - Phenotype (positive),:38929024:kpckGCb279dY5juCJqgPQe,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),Ectopic calcification of myofibers,Disease - Phenotype (positive),:38924558:ENBmVkYF5QWvKyeV9PMkbR,ONLY_ONE_SIDE_SYNONYM
dystrophin,ectopic calcification of myofibers,Phenotype - Protein,:38924558:a2GUG7EFwPZuVAPethFttX,ONLY_ONE_SIDE_SYNONYM
P2X7 purinoceptor,dystrophic calcification,Phenotype - Protein,:38924558:HxZsd4DAuQaNFDYDvcYYTi,TWO_SIDE_NO_SYNONYM
macrophages,CXCL5,Cellular component - Protein,:38924558:mAaMRTeM5gZcVEmJFcVErR,ONLY_ONE_SIDE_SYNONYM
P2X7 activation,CXCL5,Biological process - Protein,:38924558:9LC4mf7nFihCXFoqHA7NKN,ONLY_ONE_SIDE_SYNONYM
mineralisation,CXCL5,Biological process - Protein,:38924558:CdnHEkbNJZfow5StP6mCHL,APPROVED
calcification,CXCL5,Biological process - Protein,:38924558:aYXQiTtdKLbBUd89rzEEEa,NO_ID
homoeostatic mechanism regulating intracellular calcium,CXCL5,Biological process - Protein,:38924558:8uybsfbWB3KUULbxV6kxHz,ONLY_ONE_SIDE_SYNONYM
extracellular ATP damage-associated signal,CXCL5,Exposure - Protein,:38924558:hRsa3cNd2JJdq2C6tFj2YV,ONLY_ONE_SIDE_SYNONYM
damage response,CXCL5,Biological process - Protein,:38924558:oBxeDEwVSoeiNmY5aozW9o,APPROVED(NODE_ALL_EXISTS)
ectopic calcification,CXCL5,Phenotype - Protein,:38924558:ZusXzwCPG8cveph3LBoBdj,APPROVED(NODE_ALL_EXISTS)
DMD gene mutations,ectopic calcification,Disease - Phenotype (positive),:38924558:eAACzEy5keG9fGgvCHnRbJ,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,delayed puberty,Disease - Phenotype (positive),:38915199:AcyUH6faNXPBKKtRj3WLk3,APPROVED(NODE_ALL_EXISTS)
glucocorticoid,delayed puberty,Drug - Phenotype,:38915199:9WWKHAjRxS7t3CpcqcKoy9,NO_ID
functional central hypogonadism,delayed puberty,Disease - Phenotype (positive),:38915199:S4vToxE9R6DMK4bQrndUFu,ONLY_ONE_SIDE_SYNONYM
diapocynin,NOX,Drug - Protein,:38908198:7cTB422BMhhvi4Debx7FEC,APPROVED
diapocynin,Duchenne muscular dystrophy,Drug - Disease (indication),:38908198:iWXzUWDRuAGjcwVkGdnEXr,APPROVED
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:38895972:oUoxPsQ2piAq6CPPwnBzTf,ONLY_ONE_SIDE_SYNONYM
cell surface,Sarcospan (SSPN),Cellular component - Protein,:38892308:NRRDbP5pu5ZMvTQcDfqfHP,ONLY_ONE_SIDE_SYNONYM
Sarcospan (SSPN),dystrophin-glycoprotein complex (DGC),Protein - Protein,:38892308:Hkyd2TowSNisSKtJ5G9SPQ,TWO_SIDE_NO_SYNONYM
Sarcospan (SSPN),integrin α7β1,Protein - Protein,:38892308:5ERdEFugdVGaTb4d5c5Uh6,TWO_SIDE_NO_SYNONYM
protein-protein interactions,Sarcospan (SSPN),Molecular function - Protein,:38892308:4HXuoNQTnpFifRT6BYj3qH,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:38892308:oGRkqCi4PeXq5cwsSEci3m,KG_ALREADY_EXISTS
Becker muscular dystrophy,dystrophin,Disease - Protein,:38892308:2j9xfGUoT9zta8on6bWusn,KG_ALREADY_EXISTS
X-linked dilated cardiomyopathy,dystrophin,Disease - Protein,:38892308:8RJFdS6gX3i3RTtH5K3u8j,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,Sarcospan (SSPN),Disease - Protein,:38892308:9JwWWqgGrjGnxHqr3QHSfG,ONLY_ONE_SIDE_SYNONYM
Becker muscular dystrophy,Sarcospan (SSPN),Disease - Protein,:38892308:HciPSSCYaCpR6aHPXa2tDB,ONLY_ONE_SIDE_SYNONYM
X-linked dilated cardiomyopathy,Sarcospan (SSPN),Disease - Protein,:38892308:X72v4weUkrouNpyQTRzFC6,ONLY_ONE_SIDE_SYNONYM
proper assembly,Sarcospan (SSPN),Biological process - Protein,:38892308:ZBmtbeTJzecXcZQ8AuMwDZ,ONLY_ONE_SIDE_SYNONYM
membrane expression,Sarcospan (SSPN),Biological process - Protein,:38892308:2DjWzZBkAuoWgiW3fhLL8N,ONLY_ONE_SIDE_SYNONYM
fibrosis,Periostin,Disease - Protein,:38892298:CQs6PiX8UGkALHrZcfvZZp,NO_ID
transforming growth factor beta 1 (Tgf-β1) signalling pathway,Periostin,Pathway - Protein,:38892298:NfniBPL6g4ZHUGfkQCceca,APPROVED(NODE_ALL_EXISTS)
skeletal muscle fibrosis,e17+ Periostin isoforms,Disease - Protein,:38892298:ianS6D7zERxiGByfzwuPZN,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy (DMD),collagen accumulation,Disease - Phenotype (positive),:38892298:Fcng5P3yKYjEQ5xBeg2foK,ONLY_ONE_SIDE_SYNONYM
fibrotic pathology of skeletal muscle,e17+ Periostin isoforms,Disease - Protein,:38892298:5URvKu6xcQJV6qbkWL3cau,TWO_SIDE_NO_SYNONYM
Duchenne muscular dystrophy,X-linked progressive disorder,Disease - Phenotype (positive),:38892293:Jtvfx5d4omn9Z3zBEhzuSo,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,muscle wasting,Disease - Phenotype (positive),:38892293:29tke9XXt3YV24HVsx3gYz,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,degeneration,Disease - Phenotype (positive),:38892293:AADsCRzXxa7QkxyAFvkKDz,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:38892293:2ApopQBJFwcqiDzPhhgHue,KG_ALREADY_EXISTS
dystrophin,links the cytoskeleton with cell membrane proteins,Molecular function - Protein,:38892293:7Y2ZEUY5kzeWa5cFgjgHvw,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,cardiomyopathy,Disease - Phenotype (positive),:38892293:AKPmienWh7fEjspa8XgN68,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,alterations in intestinal permeability,Disease - Phenotype (positive),:38891777:EMoz9PcrZooJV8kMftMk9v,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,muscle degeneration,Disease - Phenotype (positive),:38891777:7cZBXSjazyyWrhV3fYVGhm,KG_ALREADY_EXISTS
gut microbiota,immune-mediated inflammation,Exposure - Biological process,:38891777:GyFKCNprCcgK9qf8UQey4P,TWO_SIDE_NO_SYNONYM
Metabolites produced by gut bacteria,exacerbating localized pathologies,Exposure - Biological process,:38891777:RaQtnMT6x4tENu8oAASKeo,TWO_SIDE_NO_SYNONYM
fragments of bacteria,exacerbating localized pathologies,Exposure - Biological process,:38891777:jzLULEuM5mx3gXRnPVKEdM,TWO_SIDE_NO_SYNONYM
DMD gene,Duchenne Muscular Dystrophy (DMD),Disease - Protein,:38891104:5xgzDgXMkUzMqVt7tAZa2R,ONLY_ONE_SIDE_SYNONYM
Duchenne Muscular Dystrophy (DMD),fatal,Disease - Phenotype (positive),:38891104:7RjJpZATjFGymVjJkJxPLr,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,limb MuSCs proliferate,Disease - Phenotype (positive),:38875306:FdgFeUR6nzjrmyJGSyQ2fa,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,significantly less MuSCs were present in the EOMs,Disease - Phenotype (positive),:38875306:hnNV6u8p9t2xXRrPA7xcbp,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,not proliferative,Disease - Phenotype (positive),:38875306:i9oWmtTQAmAEREedZEL3Dv,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,respiratory muscle injury,Disease - Phenotype (positive),:38867461:3ZmpYvWTDZGKimmuGqMJWd,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,inflammation,Disease - Phenotype (positive),:38867461:S7MbM7TQDvcaF9w8LXZtkZ,NO_ID
Duchenne muscular dystrophy,fibrosis,Disease - Phenotype (positive),:38867461:n4ZziAPhEJKpFK85D2Uq4g,NO_ID
Duchenne muscular dystrophy,weakness,Disease - Phenotype (positive),:38867461:mG7aSq4EYRq5TGCUYzrcAA,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,respiratory failure,Disease - Phenotype (positive),:38867461:n8NkHA8p3Ab2gYKu6XvHEd,KG_ALREADY_EXISTS
Duchenne muscular dystrophy (DMD),impaired satellite cells (SCs),Disease - Phenotype (positive),:38867250:ETUvjKGPLBuxpWbbCDF7pE,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy (DMD),"heme oxygenase-1 (HO-1, HMOX1)",Disease - Protein,:38867250:3pKjXZJL6qyos5nDYnxUVv,ONLY_ONE_SIDE_SYNONYM
tamoxifen (TX),HMOX1 expression,Exposure - Biological process,:38867250:HdQsxryRtyz5hPVzL4fb7J,ONLY_ONE_SIDE_SYNONYM
physical exercise,proliferation of SCs,Exposure - Biological process,:38867250:N6ZdJSpi6k3BjhjbvdhamG,ONLY_ONE_SIDE_SYNONYM
proliferation of SCs,HMOX1,Biological process - Protein,:38867250:QVfa4U3pHkGmJFYGSDFvt2,APPROVED(NODE_ALL_EXISTS)
skeletal muscles,HO-1,Anatomy - Protein (present),:38867250:PJsr5o7VLLhh36KPPfPjQk,ONLY_ONE_SIDE_SYNONYM
drop in SC pool,HMOX1,Phenotype - Protein,:38867250:BnuHsdHRJaPrd2JpLjbS3i,ONLY_ONE_SIDE_SYNONYM
necrotic events,HO-1,Phenotype - Protein,:38867250:cAJhjNGb6ndD9oC4jitw6u,TWO_SIDE_NO_SYNONYM
increase in circulating levels of muscle damage markers,HO-1,Phenotype - Protein,:38867250:DurKDzd6N7M7AEh9r8edRQ,TWO_SIDE_NO_SYNONYM
anti-inflammatory cytokine profile,HO-1,Phenotype - Protein,:38867250:AzPZyjbFjh29TwC2z9QZph,TWO_SIDE_NO_SYNONYM
DMD,HMOX1,Disease - Protein,:38867250:fLTFxY7nCYg24UgDTQor6J,APPROVED(NODE_ALL_EXISTS)
dystrophic muscle pathology,HMOX1,Phenotype - Protein,:38867250:QQaUmteHT8VvHfrDbFFpzm,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,scoliosis,Disease - Phenotype (positive),:38865917:V76aJjzCfPGBWn34AWLPmG,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,dysphagia,Disease - Phenotype (positive),:38865917:4LcskjHafG2kH8L8V6CEAf,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,constipation,Disease - Phenotype (positive),:38865917:UdMLkhar2KLv2YcBqviDXb,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,urinary conditions,Disease - Phenotype (positive),:38865917:FNW8U6Z5rGbsp4DppGqAwx,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,dystrophin,Disease - Protein,:38850354:aRfuXjXzF53D2Vr8dSRdA6,KG_ALREADY_EXISTS
Becker muscular dystrophy,dystrophin,Disease - Protein,:38850354:U54EMaaR57XtJjDVBSFSv3,KG_ALREADY_EXISTS
Duchenne muscular dystrophy,exercise intolerance,Disease - Phenotype (positive),:38847487:7czb8iN9MuS7ot4r6LSqGP,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,metabolic anomalies,Disease - Phenotype (positive),:38847487:AiM484cQi7c7XHx39Ge3yp,ONLY_ONE_SIDE_SYNONYM
estrogen,skeletal muscle function,Exposure - Biological process,:38847487:PjtZ7WMCjjXSfiR2XoxFzL,APPROVED
estrogen,metabolism,Exposure - Biological process,:38847487:gNJjTzJs3HuzD9UqafquT4,APPROVED
ovariectomy,RNA-binding motif factor 20 (Rbm20),Exposure - Protein,:38847487:T8Fuz4gGyGDUXvqdqtdqVQ,TWO_SIDE_NO_SYNONYM
Rbm20,sarcomeric and muscle homeostasis gene splicing,Biological process - Protein,:38847487:SDTRB6izSQYdgrGiJfBbe7,ONLY_ONE_SIDE_SYNONYM
Estrogen replacement,Rbm20,Exposure - Protein,:38847487:oLLrnVmuCE9hmA8mUUvX9g,ONLY_ONE_SIDE_SYNONYM
Estrogen replacement,metabolic processes,Exposure - Biological process,:38847487:59FESC5eWVpfsFzq3pzPhv,ONLY_ONE_SIDE_SYNONYM
Estrogen replacement,mitochondrial dynamics,Exposure - Biological process,:38847487:DMqK23BvZbMAvnXyASGPPG,ONLY_ONE_SIDE_SYNONYM
Estrogen replacement,metabolism,Exposure - Biological process,:38847487:U23CW3AcJkxPMMYs4BoZWa,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,motor function,Disease - Phenotype (positive),:38837739:Yxv8CV2HVH4FvdEpvCiUNH,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,DMD gene,Disease - Protein,:38837620:Vp3BHck2YR3KF7MRm3N6pR,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,severe neuromuscular disorder,Disease - Phenotype (positive),:38837620:Df2rypXTVdGZaEvAUTjZvS,ONLY_ONE_SIDE_SYNONYM
muscle,dystrophin,Anatomy - Protein (present),:38837620:8Ab5HqHMPJk25pGd9CLBsF,APPROVED(NODE_ALL_EXISTS)
Duchenne muscular dystrophy,fatal genetic neuromuscular disorder,Disease - Phenotype (positive),:38837229:hehoRiPtAK5M73F5Rodkxx,ONLY_ONE_SIDE_SYNONYM
Duchenne muscular dystrophy,progressive decline in skeletal muscle function,Disease - Phenotype (positive),:38837229:CDgKXafYuyUu93BZJnoYoj,ONLY_ONE_SIDE_SYNONYM
