relation,x_type,y_type,x_id,y_id
disease_protein,disease,gene/protein,10679,4842
disease_phenotype_positive,disease,effect/phenotype,10311,33667
disease_phenotype_positive,disease,effect/phenotype,10679,6532
disease_protein,disease,gene/protein,10679,23411
disease_phenotype_positive,disease,effect/phenotype,10679,2938
disease_disease,disease,disease,10311,11057
bioprocess_protein,biological_process,gene/protein,43696,24145
drug_protein,drug,gene/protein,9081,2876
indication,drug,disease,15114,16145
indication,drug,disease,635,10679
disease_phenotype_positive,disease,effect/phenotype,10311,1644
disease_protein,disease,gene/protein,10679,1278
disease_protein,disease,gene/protein,10679,50650
disease_disease,disease,disease,12020,8026
disease_protein,disease,gene/protein,20121,79147
disease_phenotype_positive,disease,effect/phenotype,10679,2878
disease_phenotype_positive,disease,effect/phenotype,10679,7018
indication,drug,disease,12645,10679
drug_effect,drug,effect/phenotype,16802,2013
disease_protein,disease,gene/protein,20121,1756
indication,drug,disease,635,10679
disease_phenotype_positive,disease,effect/phenotype,10679,12037
disease_phenotype_positive,disease,effect/phenotype,10679,3676
disease_protein,disease,gene/protein,10679,81631
disease_phenotype_positive,disease,effect/phenotype,10679,2360
molfunc_protein,molecular_function,gene/protein,16310,6885
contraindication,drug,disease,675,10679
bioprocess_protein,biological_process,gene/protein,33497,1756
bioprocess_protein,biological_process,gene/protein,40007,6885
drug_effect,drug,effect/phenotype,624,41166
disease_phenotype_positive,disease,effect/phenotype,10679,11140
disease_phenotype_positive,disease,effect/phenotype,10679,1638
disease_protein,disease,gene/protein,10679,406
disease_phenotype_positive,disease,effect/phenotype,10679,739
disease_protein,disease,gene/protein,20121,84892
disease_phenotype_positive,disease,effect/phenotype,10679,689
anatomy_protein_present,anatomy,gene/protein,15230,8518
disease_disease,disease,disease,5021,10679
disease_phenotype_positive,disease,effect/phenotype,10679,100614
indication,drug,disease,6014,10679
drug_effect,drug,effect/phenotype,1265,3202
disease_phenotype_positive,disease,effect/phenotype,10679,34392
indication,drug,disease,5016,10679
indication,drug,disease,11921,10679
drug_effect,drug,effect/phenotype,9081,6532
disease_protein,disease,gene/protein,10679,8864
disease_phenotype_positive,disease,effect/phenotype,20121,3202
disease_phenotype_positive,disease,effect/phenotype,8056,10535
drug_protein,drug,gene/protein,19171,2475
indication,drug,disease,6014,10679
disease_protein,disease,gene/protein,16899,1756
indication,drug,disease,5,800120
disease_phenotype_positive,disease,effect/phenotype,10679,100543
indication,drug,disease,11921,10679
drug_protein,drug,gene/protein,399,251
disease_phenotype_positive,disease,effect/phenotype,10679,7018
disease_phenotype_positive,disease,effect/phenotype,10311,3202
disease_phenotype_positive,disease,effect/phenotype,7523,1382
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,10311,3687
disease_phenotype_positive,disease,effect/phenotype,10679,25406
indication,drug,disease,16802,10679
disease_disease,disease,disease,10679,5267
exposure_protein,,gene/protein,C506248,6346
pathway_protein,pathway,gene/protein,R-HSA-157118,2335
disease_protein,disease,gene/protein,5371,1756
disease_protein,disease,gene/protein,10679,10659
bioprocess_protein,biological_process,gene/protein,35148,928
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,10679,2093
disease_phenotype_positive,disease,effect/phenotype,10679,2020
anatomy_protein_present,anatomy,gene/protein,5090,1152
cellcomp_protein,cellular_component,gene/protein,42383,7402
disease_protein,disease,gene/protein,10679,1513
disease_phenotype_positive,disease,effect/phenotype,10679,1260
drug_protein,drug,gene/protein,19171,9474
disease_phenotype_positive,disease,effect/phenotype,10311,256
disease_phenotype_positive,disease,effect/phenotype,11925,3198
phenotype_protein,effect/phenotype,gene/protein,3236,1152
disease_protein,disease,gene/protein,10311,5081
disease_disease,disease,disease,10679,16147
bioprocess_protein,biological_process,gene/protein,51664,7942
disease_phenotype_positive,disease,effect/phenotype,10679,32198
disease_phenotype_positive,disease,effect/phenotype,10679,4389
disease_phenotype_positive,disease,effect/phenotype,10679,100750
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_phenotype_positive,disease,effect/phenotype,16899,2172
disease_protein,disease,gene/protein,8054,64135
drug_protein,drug,gene/protein,13345,1756
indication,drug,disease,5016,16147
disease_protein,disease,gene/protein,10679,101927204
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_phenotype_positive,disease,effect/phenotype,10679,1635
disease_phenotype_positive,disease,effect/phenotype,10679,12532
disease_phenotype_positive,disease,effect/phenotype,10679,2747
drug_protein,drug,gene/protein,945,4779
phenotype_phenotype,effect/phenotype,effect/phenotype,9102,1252
disease_phenotype_positive,disease,effect/phenotype,10679,6000023
disease_phenotype_positive,disease,effect/phenotype,10679,1036
disease_phenotype_positive,disease,effect/phenotype,10679,12719
drug_protein,drug,gene/protein,18884,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2353
disease_protein,disease,gene/protein,10679,960
disease_phenotype_positive,disease,effect/phenotype,10679,4308
disease_protein,disease,gene/protein,10679,3146
disease_phenotype_positive,disease,effect/phenotype,10679,2203
disease_disease,disease,disease,5298,10679
bioprocess_protein,biological_process,gene/protein,43403,4656
drug_effect,drug,effect/phenotype,675,2527
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,10679,100295
disease_phenotype_positive,disease,effect/phenotype,10679,7010
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_protein,disease,gene/protein,10679,1152
disease_phenotype_positive,disease,effect/phenotype,10679,3149
indication,drug,disease,18669,10679
disease_protein,disease,gene/protein,18939,79147
disease_phenotype_positive,disease,effect/phenotype,10679,5200283
disease_protein,disease,gene/protein,10679,4621
disease_disease,disease,disease,13591,18975
disease_phenotype_positive,disease,effect/phenotype,10679,25169
disease_phenotype_positive,disease,effect/phenotype,10679,708
indication,drug,disease,15114,16147
indication,drug,disease,621,10679
disease_protein,disease,gene/protein,10679,1293
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,16147,3546
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,10679,1638
disease_protein,disease,gene/protein,16971,3146
disease_disease,disease,disease,10311,16147
disease_phenotype_positive,disease,effect/phenotype,10679,5237
disease_protein,disease,gene/protein,10679,952
disease_protein,disease,gene/protein,8054,23586
disease_phenotype_positive,disease,effect/phenotype,10679,2505
disease_phenotype_positive,disease,effect/phenotype,10679,2859
disease_protein,disease,gene/protein,10679,3394
disease_phenotype_positive,disease,effect/phenotype,4976,25435
disease_phenotype_positive,disease,effect/phenotype,10679,4308
disease_phenotype_positive,disease,effect/phenotype,10679,2615
indication,drug,disease,6014,10679
disease_phenotype_positive,disease,effect/phenotype,8055,12378
indication,drug,disease,4997,10679
disease_protein,disease,gene/protein,20121,8291
disease_phenotype_positive,disease,effect/phenotype,10311,3701
disease_phenotype_positive,disease,effect/phenotype,10679,3700
disease_phenotype_positive,disease,effect/phenotype,10311,1324
disease_protein,disease,gene/protein,10311,1513
indication,drug,disease,28,800120
disease_phenotype_positive,disease,effect/phenotype,10679,3546
disease_phenotype_positive,disease,effect/phenotype,10679,100512
disease_phenotype_positive,disease,effect/phenotype,10679,2938
disease_phenotype_positive,disease,effect/phenotype,10679,3202
disease_phenotype_positive,disease,effect/phenotype,10311,1392
disease_phenotype_positive,disease,effect/phenotype,10679,6001166
disease_phenotype_positive,disease,effect/phenotype,18958,31177
anatomy_protein_present,anatomy,gene/protein,2349,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2344
drug_protein,drug,gene/protein,313,1756
drug_protein,drug,gene/protein,19171,3310
disease_phenotype_positive,disease,effect/phenotype,16147,1419
disease_phenotype_positive,disease,effect/phenotype,19079,5200283
drug_effect,drug,effect/phenotype,5016,6532
disease_phenotype_positive,disease,effect/phenotype,10679,1685
disease_protein,disease,gene/protein,20121,6443
disease_phenotype_positive,disease,effect/phenotype,10679,25502
bioprocess_protein,biological_process,gene/protein,31099,64577
disease_protein,disease,gene/protein,10679,834
disease_phenotype_positive,disease,effect/phenotype,10679,4302
disease_phenotype_positive,disease,effect/phenotype,10679,100543
disease_phenotype_positive,disease,effect/phenotype,16147,739
disease_protein,disease,gene/protein,10679,1894
bioprocess_protein,biological_process,gene/protein,7520,8204
disease_phenotype_positive,disease,effect/phenotype,11925,9830
disease_phenotype_positive,disease,effect/phenotype,20121,3323
disease_phenotype_positive,disease,effect/phenotype,10679,1638
disease_phenotype_positive,disease,effect/phenotype,10679,707
disease_phenotype_positive,disease,effect/phenotype,10311,3202
disease_protein,disease,gene/protein,10679,6774
disease_protein,disease,gene/protein,5252,1756
disease_phenotype_positive,disease,effect/phenotype,16899,3326
disease_disease,disease,disease,8056,19056
indication,drug,disease,4866,10679
indication,drug,disease,16802,10679
disease_protein,disease,gene/protein,10679,10891
disease_protein,disease,gene/protein,16147,4811
disease_phenotype_positive,disease,effect/phenotype,10613,40302
disease_phenotype_positive,disease,effect/phenotype,10679,11097
disease_protein,disease,gene/protein,10679,871
disease_phenotype_positive,disease,effect/phenotype,20121,1685
disease_protein,disease,gene/protein,10679,1756
indication,drug,disease,16802,10679
disease_protein,disease,gene/protein,10679,27250
bioprocess_protein,biological_process,gene/protein,45445,84624
disease_protein,disease,gene/protein,10679,51676
exposure_protein,,gene/protein,D008775,10725
disease_phenotype_positive,disease,effect/phenotype,10679,12531
indication,drug,disease,5,19810
disease_disease,disease,disease,10679,5021
disease_phenotype_positive,disease,effect/phenotype,16147,1638
disease_phenotype_positive,disease,effect/phenotype,10679,970
disease_disease,disease,disease,10679,5045
indication,drug,disease,959,800120
phenotype_phenotype,effect/phenotype,effect/phenotype,3201,1695
bioprocess_protein,biological_process,gene/protein,42310,7175
cellcomp_protein,cellular_component,gene/protein,42383,4842
disease_phenotype_positive,disease,effect/phenotype,10679,12824
disease_phenotype_positive,disease,effect/phenotype,11057,34392
disease_disease,disease,disease,10679,19056
phenotype_protein,effect/phenotype,gene/protein,10766,6374
disease_phenotype_positive,disease,effect/phenotype,5021,1635
bioprocess_protein,biological_process,gene/protein,31099,223
drug_protein,drug,gene/protein,9081,7124
disease_protein,disease,gene/protein,16140,361
disease_phenotype_positive,disease,effect/phenotype,10311,1635
bioprocess_protein,biological_process,gene/protein,36145,84876
drug_protein,drug,gene/protein,18582,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2878
disease_phenotype_positive,disease,effect/phenotype,10679,1631
off-label use,drug,disease,1132,10679
anatomy_protein_present,anatomy,gene/protein,5090,1756
disease_phenotype_positive,disease,effect/phenotype,10679,7018
disease_protein,disease,gene/protein,10311,10320
disease_phenotype_positive,disease,effect/phenotype,10679,100750
disease_protein,disease,gene/protein,10679,9572
disease_protein,disease,gene/protein,16147,1756
disease_protein,disease,gene/protein,10679,55214
disease_phenotype_positive,disease,effect/phenotype,44875,2791
disease_phenotype_positive,disease,effect/phenotype,10679,2597
disease_protein,disease,gene/protein,20121,2318
disease_phenotype_positive,disease,effect/phenotype,10679,12532
disease_phenotype_positive,disease,effect/phenotype,10679,1249
disease_phenotype_positive,disease,effect/phenotype,10679,4322
disease_phenotype_positive,disease,effect/phenotype,10679,11003
disease_disease,disease,disease,10679,5260
disease_protein,disease,gene/protein,10679,10631
indication,drug,disease,635,10679
disease_protein,disease,gene/protein,10679,9975
molfunc_protein,molecular_function,gene/protein,3779,8204
indication,drug,disease,16360,19810
disease_phenotype_positive,disease,effect/phenotype,10679,230
bioprocess_protein,biological_process,gene/protein,33002,3565
disease_phenotype_positive,disease,effect/phenotype,10679,211
disease_phenotype_positive,disease,effect/phenotype,10679,4395
disease_phenotype_positive,disease,effect/phenotype,10679,4322
disease_protein,disease,gene/protein,10679,100419743
disease_phenotype_positive,disease,effect/phenotype,10679,3287
indication,drug,disease,12645,9891
drug_effect,drug,effect/phenotype,5016,2505
disease_protein,disease,gene/protein,1010441,6588
indication,drug,disease,11921,10679
disease_protein,disease,gene/protein,10679,55669
disease_phenotype_positive,disease,effect/phenotype,15128,2902
indication,drug,disease,13688,10679
disease_disease,disease,disease,10679,7743
phenotype_protein,effect/phenotype,gene/protein,1654,8425
disease_protein,disease,gene/protein,10679,7805
disease_protein,disease,gene/protein,10679,8878
disease_phenotype_positive,disease,effect/phenotype,10679,2149
disease_protein,disease,gene/protein,10679,6696
disease_phenotype_positive,disease,effect/phenotype,16971,1627
disease_phenotype_positive,disease,effect/phenotype,10679,3693
indication,drug,disease,15114,20121
disease_disease,disease,disease,10679,16620
disease_phenotype_positive,disease,effect/phenotype,7037,256
disease_phenotype_positive,disease,effect/phenotype,10679,1638
bioprocess_protein,biological_process,gene/protein,31099,217
drug_protein,drug,gene/protein,12645,3065
drug_protein,drug,gene/protein,15114,2908
bioprocess_protein,biological_process,gene/protein,30330,7157
disease_phenotype_positive,disease,effect/phenotype,10679,2505
cellcomp_protein,cellular_component,gene/protein,5856,1756
disease_phenotype_positive,disease,effect/phenotype,10679,7018
anatomy_protein_present,anatomy,gene/protein,956,1756
anatomy_protein_absent,anatomy,gene/protein,1015,1756
off-label use,drug,disease,675,10679
disease_disease,disease,disease,10679,5027
disease_protein,disease,gene/protein,5045,8483
disease_protein,disease,gene/protein,10311,4060
disease_phenotype_positive,disease,effect/phenotype,757,41166
exposure_bioprocess,,biological_process,D002392,7005
disease_phenotype_positive,disease,effect/phenotype,10679,1640
disease_disease,disease,disease,10679,43218
disease_protein,disease,gene/protein,10311,1029
exposure_protein,,gene/protein,C065495,5627
disease_phenotype_positive,disease,effect/phenotype,10679,1638
anatomy_protein_absent,anatomy,gene/protein,6110636,1756
indication,drug,disease,18669,10526
disease_phenotype_positive,disease,effect/phenotype,16367,2791
bioprocess_protein,biological_process,gene/protein,10468,1756
disease_phenotype_positive,disease,effect/phenotype,10679,33044
disease_protein,disease,gene/protein,10679,1756
disease_protein,disease,gene/protein,16899,1756
drug_effect,drug,effect/phenotype,15114,855
disease_phenotype_positive,disease,effect/phenotype,10679,2878
anatomy_protein_present,anatomy,gene/protein,15230,1605
disease_protein,disease,gene/protein,10679,3162
disease_phenotype_positive,disease,effect/phenotype,10679,1685
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_disease,disease,disease,16147,5027
disease_protein,disease,gene/protein,10679,10159
disease_phenotype_positive,disease,effect/phenotype,10679,2015
disease_protein,disease,gene/protein,10679,7139
disease_phenotype_positive,disease,effect/phenotype,10679,11675
disease_phenotype_positive,disease,effect/phenotype,10679,31846
disease_phenotype_positive,disease,effect/phenotype,10383,256
indication,drug,disease,15114,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2942
disease_phenotype_positive,disease,effect/phenotype,10311,1638
disease_protein,disease,gene/protein,20121,1291
disease_phenotype_positive,disease,effect/phenotype,10679,12
indication,drug,disease,15005,10679
disease_phenotype_positive,disease,effect/phenotype,10311,3555
disease_phenotype_positive,disease,effect/phenotype,20121,2878
disease_phenotype_positive,disease,effect/phenotype,10679,970
disease_phenotype_positive,disease,effect/phenotype,19019,2659
phenotype_protein,effect/phenotype,gene/protein,1635,6774
phenotype_phenotype,effect/phenotype,effect/phenotype,3201,1663
disease_phenotype_positive,disease,effect/phenotype,10679,25502
bioprocess_protein,biological_process,gene/protein,45026,8204
disease_protein,disease,gene/protein,10399,190
indication,drug,disease,5016,10679
disease_phenotype_positive,disease,effect/phenotype,10679,9067
disease_phenotype_positive,disease,effect/phenotype,10679,12531
disease_protein,disease,gene/protein,10679,1756
disease_protein,disease,gene/protein,6325,9636
exposure_bioprocess,,biological_process,D054715,6954
indication,drug,disease,959,19810
cellcomp_protein,cellular_component,gene/protein,42383,7402
disease_protein,disease,gene/protein,10679,3091
disease_protein,disease,gene/protein,10679,10468
drug_effect,drug,effect/phenotype,5016,3677
disease_phenotype_positive,disease,effect/phenotype,5336,3236
disease_phenotype_positive,disease,effect/phenotype,10679,4386
bioprocess_protein,biological_process,gene/protein,51493,6662
disease_protein,disease,gene/protein,10679,7402
disease_phenotype_positive,disease,effect/phenotype,10679,1263
drug_effect,drug,effect/phenotype,675,34307
exposure_protein,,gene/protein,D000305,1756
anatomy_protein_absent,anatomy,gene/protein,14895,1756
disease_phenotype_positive,disease,effect/phenotype,10679,3701
disease_disease,disease,disease,16147,10542
bioprocess_protein,biological_process,gene/protein,31099,501
disease_protein,disease,gene/protein,10679,2066
disease_phenotype_positive,disease,effect/phenotype,10679,6532
drug_effect,drug,effect/phenotype,700,12664
disease_phenotype_positive,disease,effect/phenotype,10679,2650
disease_phenotype_positive,disease,effect/phenotype,10679,9067
indication,drug,disease,635,16147
disease_protein,disease,gene/protein,10679,60674
disease_phenotype_positive,disease,effect/phenotype,10679,211
drug_effect,drug,effect/phenotype,6643,1712
indication,drug,disease,5016,10679
drug_protein,drug,gene/protein,15083,2660
disease_disease,disease,disease,20121,8056
disease_phenotype_positive,disease,effect/phenotype,10651,2747
drug_effect,drug,effect/phenotype,16802,1873
disease_phenotype_positive,disease,effect/phenotype,10679,41166
phenotype_phenotype,effect/phenotype,effect/phenotype,10807,689
disease_phenotype_positive,disease,effect/phenotype,10679,200123
bioprocess_protein,biological_process,gene/protein,6955,101805492
indication,drug,disease,5016,10679
disease_protein,disease,gene/protein,10679,1431
phenotype_protein,effect/phenotype,gene/protein,2878,1756
disease_phenotype_positive,disease,effect/phenotype,10679,1288
indication,drug,disease,8908,10679
disease_protein,disease,gene/protein,10679,57585
drug_effect,drug,effect/phenotype,635,5162
drug_protein,drug,gene/protein,331,64175
disease_protein,disease,gene/protein,10311,1490
bioprocess_protein,biological_process,gene/protein,6954,6885
bioprocess_protein,biological_process,gene/protein,45214,58529
indication,drug,disease,15114,16971
indication,drug,disease,15083,10679
disease_protein,disease,gene/protein,7294,84624
bioprocess_protein,biological_process,gene/protein,1990765,1756
bioprocess_protein,biological_process,gene/protein,48740,1462
indication,drug,disease,11921,10679
disease_phenotype_positive,disease,effect/phenotype,10679,34314
disease_protein,disease,gene/protein,10311,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2107
bioprocess_protein,biological_process,gene/protein,70085,124872
disease_protein,disease,gene/protein,11925,3908
disease_phenotype_positive,disease,effect/phenotype,10679,25464
disease_protein,disease,gene/protein,10679,5144
off-label use,drug,disease,11921,10679
drug_protein,drug,gene/protein,6014,1756
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,16899,34392
disease_phenotype_positive,disease,effect/phenotype,20121,3202
disease_disease,disease,disease,10679,20121
indication,drug,disease,15114,10679
anatomy_protein_present,anatomy,gene/protein,14895,10589
indication,drug,disease,11921,10311
bioprocess_protein,biological_process,gene/protein,51170,10413
disease_phenotype_positive,disease,effect/phenotype,10311,1644
bioprocess_protein,biological_process,gene/protein,10149,1029
indication,drug,disease,6285,5298
disease_phenotype_positive,disease,effect/phenotype,10679,1419
drug_effect,drug,effect/phenotype,11921,5162
indication,drug,disease,15114,10679
disease_phenotype_positive,disease,effect/phenotype,10679,3127
phenotype_protein,effect/phenotype,gene/protein,271,7225
disease_disease,disease,disease,10679,10383
disease_protein,disease,gene/protein,10679,945
disease_protein,disease,gene/protein,10679,1756
disease_phenotype_positive,disease,effect/phenotype,16147,7018
indication,drug,disease,1272,9290
bioprocess_protein,biological_process,gene/protein,8610,10891
disease_phenotype_positive,disease,effect/phenotype,10679,3119
disease_phenotype_positive,disease,effect/phenotype,10679,3323
phenotype_protein,effect/phenotype,gene/protein,2505,958
disease_protein,disease,gene/protein,10679,1756
disease_disease,disease,disease,10311,16147
disease_phenotype_positive,disease,effect/phenotype,10679,2505
disease_protein,disease,gene/protein,10679,8678
disease_phenotype_positive,disease,effect/phenotype,10679,1635
disease_phenotype_positive,disease,effect/phenotype,10679,2019
disease_protein,disease,gene/protein,10679,9748
indication,drug,disease,15528,19079
bioprocess_protein,biological_process,gene/protein,43403,83667
bioprocess_protein,biological_process,gene/protein,1525,7026
anatomy_protein_present,anatomy,gene/protein,3661,857
disease_phenotype_positive,disease,effect/phenotype,10679,1714
disease_phenotype_positive,disease,effect/phenotype,10679,1638
drug_effect,drug,effect/phenotype,230,2370
disease_protein,disease,gene/protein,10679,7222
drug_protein,drug,gene/protein,630,251
disease_protein,disease,gene/protein,10311,2006
disease_phenotype_positive,disease,effect/phenotype,10679,1644
disease_phenotype_positive,disease,effect/phenotype,20121,25406
disease_phenotype_positive,disease,effect/phenotype,10679,1639
disease_phenotype_positive,disease,effect/phenotype,10679,25267
disease_phenotype_positive,disease,effect/phenotype,10679,2878
disease_protein,disease,gene/protein,10679,2101
drug_protein,drug,gene/protein,1265,8678
disease_phenotype_positive,disease,effect/phenotype,10679,2180
disease_phenotype_positive,disease,effect/phenotype,10679,2505
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_phenotype_positive,disease,effect/phenotype,10679,7009
drug_effect,drug,effect/phenotype,11921,518
bioprocess_protein,biological_process,gene/protein,6955,6387
disease_protein,disease,gene/protein,10679,5605
disease_phenotype_positive,disease,effect/phenotype,7037,9826
disease_phenotype_positive,disease,effect/phenotype,10679,8964
phenotype_protein,effect/phenotype,gene/protein,3202,3146
disease_phenotype_positive,disease,effect/phenotype,10679,100613
indication,drug,disease,4652,10679
disease_protein,disease,gene/protein,10311,1277
disease_phenotype_positive,disease,effect/phenotype,10679,2353
disease_phenotype_positive,disease,effect/phenotype,10155,1263
disease_phenotype_positive,disease,effect/phenotype,10679,750
cellcomp_protein,cellular_component,gene/protein,5901,857
disease_disease,disease,disease,10311,19079
disease_protein,disease,gene/protein,10679,7099
disease_phenotype_positive,disease,effect/phenotype,10613,1249
anatomy_protein_present,anatomy,gene/protein,1103,11035
bioprocess_protein,biological_process,gene/protein,97528,8737
drug_protein,drug,gene/protein,1268,6774
disease_protein,disease,gene/protein,10679,6688
indication,drug,disease,9081,10679
disease_phenotype_positive,disease,effect/phenotype,10679,3323
drug_protein,drug,gene/protein,9081,847
disease_phenotype_positive,disease,effect/phenotype,10679,822
disease_phenotype_positive,disease,effect/phenotype,10679,7009
indication,drug,disease,17958,10679
indication,drug,disease,15593,10679
cellcomp_protein,cellular_component,gene/protein,9295,9869
disease_protein,disease,gene/protein,10679,24145
disease_phenotype_positive,disease,effect/phenotype,10311,2505
disease_disease,disease,disease,10311,16620
disease_protein,disease,gene/protein,13170,8425
disease_protein,disease,gene/protein,10679,1152
disease_protein,disease,gene/protein,20121,1756
bioprocess_protein,biological_process,gene/protein,51668,1756
disease_phenotype_positive,disease,effect/phenotype,10679,3115
contraindication,drug,disease,16802,5550
disease_phenotype_positive,disease,effect/phenotype,10311,1256
disease_phenotype_positive,disease,effect/phenotype,10679,40270
disease_phenotype_positive,disease,effect/phenotype,10679,1371
anatomy_protein_present,anatomy,gene/protein,2036,1756
disease_phenotype_positive,disease,effect/phenotype,10679,3690
disease_phenotype_positive,disease,effect/phenotype,10311,5162
disease_phenotype_positive,disease,effect/phenotype,10679,2791
bioprocess_protein,biological_process,gene/protein,8356,1756
indication,drug,disease,4652,10679
drug_protein,drug,gene/protein,16935,1756
disease_phenotype_positive,disease,effect/phenotype,10679,5162
disease_phenotype_positive,disease,effect/phenotype,43218,12037
drug_effect,drug,effect/phenotype,12645,2013
indication,drug,disease,17048,10679
disease_phenotype_positive,disease,effect/phenotype,10679,2870
disease_phenotype_positive,disease,effect/phenotype,20121,7009
off-label use,drug,disease,1238,10679
disease_phenotype_positive,disease,effect/phenotype,10311,3812
disease_phenotype_positive,disease,effect/phenotype,10679,12531
disease_phenotype_positive,disease,effect/phenotype,10679,41166
disease_phenotype_positive,disease,effect/phenotype,10679,3323
bioprocess_protein,biological_process,gene/protein,10468,9365
disease_phenotype_positive,disease,effect/phenotype,10679,1903
pathway_protein,pathway,gene/protein,R-HSA-170834,10631
disease_protein,disease,gene/protein,10399,2710
disease_protein,disease,gene/protein,18881,1605
disease_phenotype_positive,disease,effect/phenotype,10679,805
disease_protein,disease,gene/protein,10679,106144584
anatomy_protein_present,anatomy,gene/protein,1103,1756
disease_phenotype_positive,disease,effect/phenotype,10679,2090
phenotype_protein,effect/phenotype,gene/protein,3202,10013
disease_disease,disease,disease,16147,16899
disease_protein,disease,gene/protein,10679,361
drug_effect,drug,effect/phenotype,11921,6532
disease_phenotype_positive,disease,effect/phenotype,10679,9073
drug_effect,drug,effect/phenotype,6014,2013
disease_phenotype_positive,disease,effect/phenotype,10679,3287
phenotype_protein,effect/phenotype,gene/protein,3287,1756
indication,drug,disease,11921,4994
disease_phenotype_positive,disease,effect/phenotype,10679,762
disease_protein,disease,gene/protein,10679,1756
bioprocess_protein,biological_process,gene/protein,8356,1756
disease_protein,disease,gene/protein,10679,2495
disease_phenotype_positive,disease,effect/phenotype,20121,2791
disease_phenotype_positive,disease,effect/phenotype,20121,10535
disease_phenotype_positive,disease,effect/phenotype,10651,3713
disease_protein,disease,gene/protein,10679,2660
disease_protein,disease,gene/protein,10679,9869
disease_phenotype_positive,disease,effect/phenotype,10679,2650
bioprocess_protein,biological_process,gene/protein,51146,7026
disease_protein,disease,gene/protein,10679,23476
bioprocess_protein,biological_process,gene/protein,16567,51132
disease_protein,disease,gene/protein,3939,2335
disease_protein,disease,gene/protein,10679,4691
disease_disease,disease,disease,20121,2572
exposure_bioprocess,,biological_process,C060506,48659
disease_phenotype_positive,disease,effect/phenotype,10679,9067
indication,drug,disease,18884,10679
disease_phenotype_positive,disease,effect/phenotype,16899,11003
disease_protein,disease,gene/protein,16899,1756
anatomy_protein_present,anatomy,gene/protein,15230,924
disease_protein,disease,gene/protein,10679,2660
phenotype_protein,effect/phenotype,gene/protein,1324,246329
phenotype_protein,effect/phenotype,gene/protein,3202,1756
disease_phenotype_positive,disease,effect/phenotype,15128,2153
disease_protein,disease,gene/protein,20121,1756
disease_protein,disease,gene/protein,20121,825
disease_disease,disease,disease,10679,5298
bioprocess_protein,biological_process,gene/protein,14732,2122
disease_phenotype_positive,disease,effect/phenotype,10679,3323
bioprocess_protein,biological_process,gene/protein,16567,8736
disease_phenotype_positive,disease,effect/phenotype,19056,10807
drug_effect,drug,effect/phenotype,860,31163
disease_phenotype_positive,disease,effect/phenotype,10651,5200283
disease_protein,disease,gene/protein,10679,859
disease_phenotype_positive,disease,effect/phenotype,10679,1635
disease_phenotype_positive,disease,effect/phenotype,10679,2019
disease_phenotype_positive,disease,effect/phenotype,10679,1324
disease_protein,disease,gene/protein,10679,1408
disease_phenotype_positive,disease,effect/phenotype,10679,7269
disease_phenotype_positive,disease,effect/phenotype,10679,25464
disease_phenotype_positive,disease,effect/phenotype,10679,2877
drug_effect,drug,effect/phenotype,52,41166
disease_protein,disease,gene/protein,10679,7220
disease_phenotype_positive,disease,effect/phenotype,10679,12100
cellcomp_protein,cellular_component,gene/protein,42383,4842
drug_protein,drug,gene/protein,14128,4654
disease_phenotype_positive,disease,effect/phenotype,10679,5165
disease_phenotype_positive,disease,effect/phenotype,10679,3323
anatomy_protein_present,anatomy,gene/protein,2371,7099
cellcomp_protein,cellular_component,gene/protein,5737,1756
exposure_protein,,gene/protein,C007845,3162
disease_phenotype_positive,disease,effect/phenotype,10679,158
disease_phenotype_positive,disease,effect/phenotype,10679,100662
indication,drug,disease,1050,10679
indication,drug,disease,6014,10679
disease_phenotype_positive,disease,effect/phenotype,10679,8443
anatomy_protein_present,anatomy,gene/protein,1134,1756
disease_protein,disease,gene/protein,10679,6722
disease_protein,disease,gene/protein,10679,100128537
disease_phenotype_positive,disease,effect/phenotype,10679,2505
drug_protein,drug,gene/protein,1394,4489
disease_protein,disease,gene/protein,10679,84552
disease_protein,disease,gene/protein,9047,4103
disease_phenotype_positive,disease,effect/phenotype,10679,5237
disease_disease,disease,disease,10679,2572
disease_protein,disease,gene/protein,10679,7431
anatomy_protein_present,anatomy,gene/protein,5090,1756
